year,RegNo,category,income,measure,type
2005,Kakheti,income_median_infl,323.72429234885885,Median,Adjusted to inflation (base: 2010 prices)
2005,Tbilisi,mean_income,326.6426667843084,Mean,Nominal values
2005,Tbilisi,median_income,247.32416074639644,Median,Nominal values
2005,Tbilisi,income_mean_infl,466.87571229525355,Mean,Adjusted to inflation (base: 2010 prices)
2005,Tbilisi,income_median_infl,353.5044728022245,Median,Adjusted to inflation (base: 2010 prices)
2005,Shida Kartli,mean_income,286.46222455096813,Mean,Nominal values
2005,Shida Kartli,median_income,208.73788340006593,Median,Nominal values
2005,Shida Kartli,income_mean_infl,409.44514827032685,Mean,Adjusted to inflation (base: 2010 prices)
2005,Shida Kartli,income_median_infl,298.3524747541982,Median,Adjusted to inflation (base: 2010 prices)
2005,Kvemo Kartli,mean_income,250.36563716455603,Mean,Nominal values
2005,Kvemo Kartli,median_income,200,Median,Nominal values
2005,Kvemo Kartli,income_mean_infl,357.85170484982206,Mean,Adjusted to inflation (base: 2010 prices)
2005,Kvemo Kartli,income_median_infl,285.8632749306722,Median,Adjusted to inflation (base: 2010 prices)
2005,Samtskhe-Javakheti,mean_income,266.2550190532062,Mean,Nominal values
2005,Samtskhe-Javakheti,median_income,206.07162092388603,Median,Nominal values
2005,Samtskhe-Javakheti,income_mean_infl,380.56265856639027,Mean,Adjusted to inflation (base: 2010 prices)
2005,Samtskhe-Javakheti,income_median_infl,294.5415421378705,Median,Adjusted to inflation (base: 2010 prices)
2005,Adjara A.R.,mean_income,272.6151079612262,Mean,Nominal values
2005,Adjara A.R.,median_income,203,Median,Nominal values
2005,Adjara A.R.,income_mean_infl,389.6532377868745,Mean,Adjusted to inflation (base: 2010 prices)
2005,Adjara A.R.,income_median_infl,290.15122405463234,Median,Adjusted to inflation (base: 2010 prices)
2005,Guria,mean_income,316.91031339663056,Mean,Nominal values
2005,Guria,median_income,249.77531104537354,Median,Nominal values
2005,Guria,income_mean_infl,452.9651002343325,Mean,Adjusted to inflation (base: 2010 prices)
2005,Guria,income_median_infl,357.00794206128893,Median,Adjusted to inflation (base: 2010 prices)
2005,Samegrelo-Zemo Svaneti,mean_income,274.6068001779424,Mean,Nominal values
2005,Samegrelo-Zemo Svaneti,median_income,215.7802378440907,Median,Nominal values
2005,Samegrelo-Zemo Svaneti,income_mean_infl,392.49999608549655,Mean,Adjusted to inflation (base: 2010 prices)
2005,Samegrelo-Zemo Svaneti,income_median_infl,308.4182272771557,Median,Adjusted to inflation (base: 2010 prices)
2005,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,350.75549956556944,Mean,Nominal values
2005,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,283.16984957899876,Median,Nominal values
2005,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,501.3405790287883,Mean,Adjusted to inflation (base: 2010 prices)
2005,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,404.7393028113921,Median,Adjusted to inflation (base: 2010 prices)
2005,Mtskheta-Mtianeti,mean_income,270.6348248191967,Mean,Nominal values
2005,Mtskheta-Mtianeti,median_income,197.06728572605445,Median,Nominal values
2005,Mtskheta-Mtianeti,income_mean_infl,386.82278666552173,Mean,Adjusted to inflation (base: 2010 prices)
2005,Mtskheta-Mtianeti,income_median_infl,281.6714983967422,Median,Adjusted to inflation (base: 2010 prices)
2006,Kakheti,mean_income,291.7366036628966,Mean,Nominal values
2006,Kakheti,median_income,213.246079063401,Median,Nominal values
2006,Kakheti,income_mean_infl,381.98993970094944,Mean,Adjusted to inflation (base: 2010 prices)
2006,Kakheti,income_median_infl,279.21712894490776,Median,Adjusted to inflation (base: 2010 prices)
2006,Tbilisi,mean_income,372.2836792882143,Mean,Nominal values
2006,Tbilisi,median_income,259.7231900361541,Median,Nominal values
2006,Tbilisi,income_mean_infl,487.4555280943611,Mean,Adjusted to inflation (base: 2010 prices)
2006,Tbilisi,income_median_infl,340.0726698508097,Median,Adjusted to inflation (base: 2010 prices)
2006,Shida Kartli,mean_income,362.9286338814622,Mean,Nominal values
2006,Shida Kartli,median_income,270.2015756683252,Median,Nominal values
2006,Shida Kartli,income_mean_infl,475.2063513165505,Mean,Adjusted to inflation (base: 2010 prices)
2006,Shida Kartli,income_median_infl,353.7927099333404,Median,Adjusted to inflation (base: 2010 prices)
2006,Kvemo Kartli,mean_income,303.8020808269188,Mean,Nominal values
2006,Kvemo Kartli,median_income,218.1780199892017,Median,Nominal values
2006,Kvemo Kartli,income_mean_infl,397.78806320167286,Mean,Adjusted to inflation (base: 2010 prices)
2006,Kvemo Kartli,income_median_infl,285.6748438603531,Median,Adjusted to inflation (base: 2010 prices)
2006,Samtskhe-Javakheti,mean_income,297.1677966830177,Mean,Nominal values
2006,Samtskhe-Javakheti,median_income,229.6457059698853,Median,Nominal values
2006,Samtskhe-Javakheti,income_mean_infl,389.1013582484059,Mean,Adjusted to inflation (base: 2010 prices)
2006,Samtskhe-Javakheti,income_median_infl,300.69024001315296,Median,Adjusted to inflation (base: 2010 prices)
2006,Adjara A.R.,mean_income,261.22997129062105,Mean,Nominal values
2006,Adjara A.R.,median_income,187.30618810029904,Median,Nominal values
2006,Adjara A.R.,income_mean_infl,342.045597736134,Mean,Adjusted to inflation (base: 2010 prices)
2006,Adjara A.R.,income_median_infl,245.25232212795387,Median,Adjusted to inflation (base: 2010 prices)
2006,Guria,mean_income,302.4961138098963,Mean,Nominal values
2006,Guria,median_income,251.19083082495678,Median,Nominal values
2006,Guria,income_mean_infl,396.07807461669466,Mean,Adjusted to inflation (base: 2010 prices)
2006,Guria,income_median_infl,328.9006902648739,Median,Adjusted to inflation (base: 2010 prices)
2006,Samegrelo-Zemo Svaneti,mean_income,342.6869904671165,Mean,Nominal values
2006,Samegrelo-Zemo Svaneti,median_income,266.69864832044084,Median,Nominal values
2006,Samegrelo-Zemo Svaneti,income_mean_infl,448.7026351211412,Mean,Adjusted to inflation (base: 2010 prices)
2006,Samegrelo-Zemo Svaneti,income_median_infl,349.20609656499767,Median,Adjusted to inflation (base: 2010 prices)
2006,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,375.75411196116517,Mean,Nominal values
2006,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,299.64356908086023,Median,Nominal values
2006,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,491.9995940457442,Mean,Adjusted to inflation (base: 2010 prices)
2006,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,392.3430500247931,Median,Adjusted to inflation (base: 2010 prices)
2006,Mtskheta-Mtianeti,mean_income,325.87844322101455,Mean,Nominal values
2006,Mtskheta-Mtianeti,median_income,239.14319905137742,Median,Nominal values
2006,Mtskheta-Mtianeti,income_mean_infl,426.6940977337032,Mean,Adjusted to inflation (base: 2010 prices)
2006,Mtskheta-Mtianeti,income_median_infl,313.1259329085891,Median,Adjusted to inflation (base: 2010 prices)
2007,Kakheti,mean_income,304.492034497413,Mean,Nominal values
2007,Kakheti,median_income,212.82994149455658,Median,Nominal values
2007,Kakheti,income_mean_infl,364.9520245298279,Mean,Adjusted to inflation (base: 2010 prices)
2007,Kakheti,income_median_infl,255.08949078818407,Median,Adjusted to inflation (base: 2010 prices)
2007,Tbilisi,mean_income,443.1033333080475,Mean,Nominal values
2007,Tbilisi,median_income,332.4317969932479,Median,Nominal values
2007,Tbilisi,income_mean_infl,531.0860063502286,Mean,Adjusted to inflation (base: 2010 prices)
2007,Tbilisi,income_median_infl,398.43951100732437,Median,Adjusted to inflation (base: 2010 prices)
2007,Shida Kartli,mean_income,318.8399609904727,Mean,Nominal values
2007,Shida Kartli,median_income,210.60699312582713,Median,Nominal values
2007,Shida Kartli,income_mean_infl,382.14887774173616,Mean,Adjusted to inflation (base: 2010 prices)
2007,Shida Kartli,income_median_infl,252.4251534141961,Median,Adjusted to inflation (base: 2010 prices)
2007,Kvemo Kartli,mean_income,322.16041834228713,Mean,Nominal values
2007,Kvemo Kartli,median_income,251.78962617193648,Median,Nominal values
2007,Kvemo Kartli,income_mean_infl,386.12864566870275,Mean,Adjusted to inflation (base: 2010 prices)
2007,Kvemo Kartli,income_median_infl,301.7850170653232,Median,Adjusted to inflation (base: 2010 prices)
2007,Samtskhe-Javakheti,mean_income,373.6582537078811,Mean,Nominal values
2007,Samtskhe-Javakheti,median_income,267.8093981437085,Median,Nominal values
2007,Samtskhe-Javakheti,income_mean_infl,447.851899962033,Mean,Adjusted to inflation (base: 2010 prices)
2007,Samtskhe-Javakheti,income_median_infl,320.9856776778558,Median,Adjusted to inflation (base: 2010 prices)
2007,Adjara A.R.,mean_income,263.2391522393613,Mean,Nominal values
2007,Adjara A.R.,median_income,192.24485284590017,Median,Nominal values
2007,Adjara A.R.,income_mean_infl,315.50796297131615,Mean,Adjusted to inflation (base: 2010 prices)
2007,Adjara A.R.,income_median_infl,230.41702344481595,Median,Adjusted to inflation (base: 2010 prices)
2007,Guria,mean_income,305.723366217261,Mean,Nominal values
2007,Guria,median_income,263.94982237735036,Median,Nominal values
2007,Guria,income_mean_infl,366.4278496848868,Mean,Adjusted to inflation (base: 2010 prices)
2007,Guria,income_median_infl,316.3597438924824,Median,Adjusted to inflation (base: 2010 prices)
2007,Samegrelo-Zemo Svaneti,mean_income,387.1331734423117,Mean,Nominal values
2007,Samegrelo-Zemo Svaneti,median_income,305.98503727353307,Median,Nominal values
2007,Samegrelo-Zemo Svaneti,income_mean_infl,464.0024020451972,Mean,Adjusted to inflation (base: 2010 prices)
2007,Samegrelo-Zemo Svaneti,income_median_infl,366.74147819048943,Median,Adjusted to inflation (base: 2010 prices)
